delta1,delta2,delta3,delta4
0013,0014,0026,0019,
0013,0014,0026,0019,
0012,0023,0033,0022,
0012,0023,0033,0022,
0012,0023,0033,0022,
0018,0021,0028,0020,
0018,0021,0028,0020,
0018,0021,0028,0020,
0015,0017,0027,0021,
0015,0017,0027,0021,
0015,0017,0027,0021,
0013,0016,0023,0018,
0013,0016,0023,0018,
0013,0016,0023,0018,
0010,0012,0017,0015,
0010,0012,0017,0015,
0010,0012,0017,0015,
0008,0012,0013,0014,
0008,0012,0013,0014,
0008,0012,0013,0014,
0004,0012,0012,0007,
0004,0012,0012,0007,
0004,0012,0012,0007,
-001,0005,0010,0004,
-001,0005,0010,0004,
-001,0005,0010,0004,
0003,0002,0001,0004,
0003,0002,0001,0004,
0003,0002,0001,0004,
-002,0014,0007,-001,
