delta1,delta2,delta3,delta4
0018,0023,0038,0026,
0018,0023,0038,0026,
0021,0032,0057,0045,
0021,0032,0057,0045,
0021,0032,0057,0045,
0026,0039,0067,0050,
0026,0039,0067,0050,
0026,0039,0067,0050,
0030,0046,0067,0058,
0030,0046,0067,0058,
0030,0046,0067,0058,
0029,0040,0057,0041,
0029,0040,0057,0041,
0029,0036,0053,0041,
0023,0029,0033,0021,
0023,0029,0033,0021,
0023,0021,0033,0021,
0017,0012,0010,0009,
0017,0012,0010,0009,
0017,0012,0010,0009,
0005,0002,0001,0000,
0005,0002,0001,0000,
0005,0002,0001,0000,
0002,0009,0000,-005,
0002,0009,0000,-005,
0002,0010,0000,-005,
-002,0001,0003,-005,
-002,0001,0003,-005,
-002,0001,0003,-005,
-002,0004,-001,-005,
