delta1,delta2,delta3,delta4
0014,0017,0031,0017,
0014,0017,0031,0017,
0011,0015,0024,0020,
0011,0015,0024,0020,
0011,0015,0024,0020,
0011,0014,0022,0013,
0011,0014,0022,0013,
0011,0014,0022,0013,
0006,0006,0010,0010,
0006,0006,0010,0010,
0006,0006,0010,0010,
0005,0006,0007,0005,
0005,0006,0007,0005,
0005,0006,0007,0005,
0001,0005,-002,0008,
0001,0005,-002,0008,
0001,0005,-002,0008,
0003,0001,0002,-002,
0003,0001,0002,-002,
0003,0001,0002,-002,
-001,0003,0007,0001,
-001,0003,0007,0001,
-001,0003,0007,0001,
0000,0002,0003,0000,
0000,0002,0003,0000,
0000,0002,0003,0000,
0000,0000,0000,0002,
0000,0000,0000,0002,
0000,0000,0000,0002,
-002,0000,-004,0001,
