delta1,delta2,delta3,delta4
0018,0019,0034,0030,
0019,0019,0034,0033,
0019,0028,0045,0036,
0018,0027,0044,0035,
0018,0029,0044,0035,
0022,0033,0052,0043,
0022,0033,0052,0043,
0023,0033,0052,0045,
0028,0034,0052,0045,
0028,0034,0052,0045,
0030,0034,0052,0045,
0028,0031,0051,0050,
0028,0031,0051,0050,
0026,0031,0050,0037,
0023,0027,0040,0030,
0023,0027,0035,0030,
0023,0023,0030,0027,
0016,0022,0027,0022,
0016,0019,0026,0022,
0013,0015,0024,0012,
0010,0010,0011,0008,
0010,0010,0011,0008,
0006,0006,0011,-002,
0005,0003,0007,-002,
0005,0003,0007,-002,
0005,0002,0007,0002,
0005,0002,-001,0000,
0005,0002,-001,0000,
0005,0003,-001,0000,
0004,0002,0002,-001,
