delta1,delta2,delta3,delta4
0009,0015,0026,0021,
0009,0015,0026,0021,
0013,0015,0033,0029,
0013,0015,0033,0029,
0013,0015,0033,0029,
0018,0025,0042,0036,
0018,0025,0042,0036,
0018,0025,0042,0036,
0020,0034,0052,0042,
0020,0034,0052,0042,
0020,0034,0052,0042,
0023,0034,0058,0050,
0023,0034,0058,0050,
0023,0034,0058,0050,
0030,0042,0063,0052,
0030,0042,0063,0052,
0030,0042,0063,0052,
0030,0041,0065,0056,
0030,0041,0065,0056,
0030,0041,0064,0052,
0029,0038,0052,0042,
0029,0038,0052,0042,
0029,0038,0046,0040,
0022,0026,0036,0030,
0022,0026,0036,0030,
0022,0024,0030,0027,
0014,0016,0021,0018,
0014,0016,0021,0018,
0014,0014,0017,0018,
0013,0010,0014,0010,
