delta1,delta2,delta3,delta4
0019,0028,0038,0035,
0025,0030,0048,0040,
0027,0035,0050,0046,
0027,0035,0050,0046,
0025,0033,0048,0045,
0024,0030,0046,0040,
0024,0030,0046,0040,
0024,0030,0038,0034,
0019,0025,0033,0029,
0017,0023,0031,0029,
0017,0022,0020,0026,
0014,0012,0017,0015,
0014,0011,0014,0015,
0007,0011,0009,0007,
0004,0003,0008,0007,
0004,0003,0008,0007,
0004,0003,0001,0001,
0005,0004,0001,0001,
0005,0004,0001,0001,
0005,0003,0005,0001,
0002,0001,0001,0002,
0002,0001,0001,0002,
0002,0001,0000,0002,
0002,0002,0000,-001,
0002,0002,0000,-001,
0002,0002,0002,0000,
0002,0003,-001,0001,
0002,0003,-001,0001,
0002,0003,-001,0001,
0004,0003,0000,0003,
