delta1,delta2,delta3,delta4
0016,0019,0033,0029,
0016,0019,0033,0029,
0016,0025,0042,0030,
0016,0025,0042,0030,
0016,0025,0042,0030,
0018,0026,0039,0039,
0018,0026,0039,0039,
0018,0026,0039,0039,
0024,0027,0047,0038,
0024,0027,0047,0038,
0024,0027,0047,0038,
0017,0028,0038,0032,
0017,0028,0038,0032,
0017,0028,0038,0032,
0021,0022,0031,0026,
0021,0022,0031,0026,
0021,0022,0031,0026,
0011,0013,0018,0020,
0011,0013,0018,0020,
0011,0013,0018,0020,
0008,0010,0011,0007,
0008,0010,0011,0007,
0008,0010,0011,0007,
0003,0008,0008,0006,
0003,0008,0008,0006,
0003,0008,0008,0006,
0006,-001,-002,0004,
0006,-001,-002,0004,
0006,-001,-002,0004,
0003,0000,0001,0000,
