delta1,delta2,delta3,delta4
0016,0018,0035,0030,
0016,0022,0038,0035,
0026,0034,0063,0058,
0026,0034,0063,0058,
0026,0036,0066,0064,
0034,0045,0084,0076,
0034,0045,0084,0076,
0034,0048,0084,0076,
0031,0051,0083,0070,
0031,0051,0083,0070,
0031,0051,0075,0065,
0028,0040,0064,0048,
0028,0040,0064,0048,
0026,0035,0047,0039,
0020,0025,0035,0023,
0020,0025,0034,0023,
0014,0013,0020,0018,
0005,0007,0016,0012,
0005,0006,0016,0012,
0005,0005,0011,0007,
0005,-005,0005,0001,
0005,-005,0005,0001,
0005,-005,0005,0001,
0003,-002,0003,0001,
0003,-002,0003,0001,
0003,-002,0003,0001,
-002,0002,0003,-002,
-002,0002,0003,-002,
-002,0002,0003,-002,
-004,-001,0000,-001,
