delta1,delta2,delta3,delta4
0017,0022,0029,0034,
0018,0024,0031,0034,
0020,0030,0049,0050,
0020,0030,0052,0050,
0022,0030,0054,0050,
0026,0041,0061,0058,
0026,0041,0061,0058,
0026,0042,0059,0056,
0026,0041,0051,0054,
0026,0041,0051,0054,
0024,0038,0051,0047,
0023,0037,0040,0038,
0023,0037,0040,0038,
0025,0037,0040,0038,
0025,0031,0031,0027,
0025,0031,0031,0027,
0020,0024,0028,0016,
0013,0018,0018,0016,
0013,0017,0018,0016,
0013,0017,0018,0014,
0011,0011,0006,0011,
0011,0010,0006,0011,
0011,0010,0006,0011,
0006,0006,0005,0002,
0006,0006,0005,0002,
0006,0006,0003,0002,
0005,0007,-002,0002,
0005,0007,-002,0002,
0005,0007,-002,0002,
0006,0004,-003,-002,
