delta1,delta2,delta3,delta4
0009,0019,0029,0026,
0009,0019,0029,0026,
0011,0021,0032,0026,
0011,0021,0032,0026,
0011,0021,0032,0026,
0015,0027,0036,0027,
0015,0027,0036,0027,
0015,0027,0036,0027,
0014,0020,0031,0026,
0014,0020,0031,0026,
0014,0020,0031,0026,
0011,0021,0028,0022,
0011,0021,0028,0022,
0011,0021,0028,0022,
0009,0020,0023,0015,
0009,0020,0023,0015,
0009,0018,0023,0015,
0009,0014,0011,0012,
0009,0014,0011,0012,
0009,0014,0011,0012,
0005,0005,0007,0007,
0005,0005,0007,0007,
0005,0005,0007,0007,
0005,0007,0004,0004,
0005,0007,0004,0004,
0005,0007,0004,0004,
0003,0005,0009,0005,
0003,0005,0009,0005,
0003,0005,0009,0005,
0001,0007,0006,0002,
