delta1,delta2,delta3,delta4
0011,0019,0028,0023,
0011,0019,0028,0023,
0018,0023,0042,0042,
0018,0023,0042,0042,
0018,0028,0049,0043,
0025,0039,0067,0056,
0025,0039,0067,0056,
0027,0040,0067,0056,
0032,0049,0079,0067,
0032,0049,0079,0067,
0035,0049,0079,0067,
0038,0052,0078,0066,
0038,0052,0078,0066,
0038,0052,0074,0066,
0031,0049,0065,0053,
0031,0049,0065,0053,
0031,0044,0054,0049,
0027,0037,0043,0037,
0027,0037,0043,0037,
0027,0030,0033,0034,
0017,0019,0027,0027,
0017,0019,0027,0027,
0017,0019,0021,0025,
0010,0016,0010,0010,
0010,0016,0010,0010,
0010,0016,0010,0010,
0004,0007,0003,0000,
0004,0007,0003,0000,
0004,0007,0003,0000,
0003,0000,-001,-001,
