delta1,delta2,delta3,delta4
0017,0021,0039,0035,
0017,0021,0039,0035,
0017,0023,0040,0037,
0024,0026,0047,0040,
0024,0026,0047,0040,
0024,0026,0051,0040,
0027,0034,0055,0049,
0027,0034,0055,0049,
0027,0034,0056,0049,
0029,0039,0064,0055,
0029,0039,0064,0055,
0029,0039,0062,0055,
0030,0036,0058,0052,
0030,0036,0058,0052,
0030,0036,0051,0041,
0025,0030,0041,0037,
0025,0030,0041,0037,
0025,0026,0034,0026,
0017,0019,0023,0023,
0017,0019,0023,0023,
0015,0018,0020,0017,
0014,0010,0012,0009,
0014,0010,0012,0009,
0012,0007,0008,0002,
0010,0007,0007,0002,
0010,0007,0007,0002,
0010,0001,0007,0003,
0004,0001,0007,0003,
0004,0001,0007,0003,
0004,0002,0007,0005,
