delta1,delta2,delta3,delta4
0017,0017,0026,0023,
0017,0017,0026,0023,
0016,0023,0036,0037,
0016,0023,0036,0037,
0016,0024,0036,0037,
0026,0035,0057,0049,
0026,0035,0057,0049,
0026,0035,0057,0049,
0029,0039,0072,0064,
0029,0039,0072,0064,
0029,0039,0076,0064,
0035,0048,0082,0075,
0035,0048,0082,0075,
0035,0048,0080,0073,
0027,0043,0069,0058,
0027,0043,0069,0058,
0027,0043,0065,0055,
0024,0037,0051,0040,
0024,0037,0051,0040,
0024,0037,0048,0040,
0019,0025,0032,0031,
0019,0025,0032,0031,
0019,0025,0032,0030,
0016,0016,0022,0020,
0016,0016,0022,0020,
0016,0016,0022,0020,
0012,0012,0019,0013,
0012,0012,0019,0013,
0012,0010,0018,0013,
0008,0003,0012,0009,
