delta1,delta2,delta3,delta4
0008,0018,0030,0016,
0008,0018,0030,0016,
0011,0018,0036,0030,
0011,0018,0036,0030,
0011,0018,0036,0030,
0018,0022,0034,0021,
0018,0022,0034,0021,
0018,0022,0034,0021,
0014,0027,0017,0023,
0014,0027,0017,0023,
0014,0027,0017,0023,
0011,0020,0028,0021,
0011,0020,0028,0021,
0011,0020,0028,0021,
0009,0019,0029,0016,
0009,0019,0029,0016,
0009,0019,0029,0016,
0006,0013,0017,0014,
0006,0013,0017,0014,
0006,0013,0017,0014,
0002,0008,0009,0007,
0002,0008,0009,0007,
0002,0008,0009,0007,
0003,0007,0010,0002,
0003,0007,0010,0002,
0003,0007,0010,0002,
0005,0003,0002,-001,
0005,0003,0002,-001,
0005,0003,0002,-001,
0002,0004,0002,-001,
