delta1,delta2,delta3,delta4
0012,0015,0026,0022,
0012,0015,0026,0022,
0011,0016,0029,0025,
0011,0016,0029,0025,
0011,0016,0029,0025,
0009,0020,0029,0019,
0009,0020,0029,0019,
0009,0020,0029,0019,
0007,0019,0028,0018,
0007,0019,0028,0018,
0007,0019,0028,0018,
0009,0010,0019,0014,
0009,0010,0019,0014,
0009,0010,0019,0014,
0004,0012,0014,0008,
0004,0012,0014,0008,
0004,0012,0014,0008,
0005,0004,0005,0004,
0005,0004,0005,0004,
0005,0004,0005,0004,
0003,0007,0003,0000,
0003,0007,0003,0000,
0003,0007,0003,0000,
-005,0004,0006,0000,
-005,0004,0006,0000,
-005,0004,0006,0000,
-004,0003,0000,0002,
-004,0003,0000,0002,
-004,0003,0000,0002,
-001,0000,-001,-001,
