delta1,delta2,delta3,delta4
0013,0018,0030,0027,
0013,0018,0030,0027,
0017,0018,0030,0032,
0017,0018,0030,0032,
0017,0018,0030,0032,
0025,0025,0035,0031,
0025,0025,0035,0031,
0025,0025,0035,0031,
0018,0024,0036,0033,
0018,0024,0036,0033,
0018,0024,0036,0033,
0016,0024,0032,0025,
0016,0024,0032,0025,
0016,0024,0032,0025,
0016,0012,0022,0022,
0016,0012,0022,0022,
0016,0012,0022,0022,
0012,0005,0011,0010,
0012,0005,0011,0010,
0012,0005,0011,0010,
0004,0001,0007,-007,
0004,0001,0007,-007,
0004,0001,0007,-007,
0008,-003,0003,0003,
0008,-003,0003,0003,
0008,-003,0003,0003,
0002,-002,0001,0003,
0002,-001,0001,0003,
0002,-001,0001,0003,
0007,0001,0001,-001,
