delta1,delta2,delta3,delta4
00004,00016,00009,00054
00004,00016,00009,00070
00004,00016,00009,00088
00005,00026,00029,00106
00005,00027,00028,00106
00005,00030,00025,00106
00005,00031,00027,00106
00005,00021,00024,00106
00005,00026,00021,00106
00001,00018,00018,00050
00001,00020,00018,00035
00007,00006,00013,00018
00007,00010,00004,00018
00007,00002,00005,00018
00007,00010,00004,00018
00007,-0001,00005,00018
00007,00003,00007,00018
00003,00011,00006,00003
00003,00011,00006,00007
00003,00011,00006,00003
00003,00011,00006,00002
00003,00011,00006,00002
00003,00011,00006,-0001
00000,00007,00004,00002
00001,-0002,00002,-0001
00004,00004,00008,00003
00000,-0002,00001,-0001
00000,00006,00005,00002
00000,-0003,00002,-0001
00002,00007,00006,00004
00001,00003,00000,00001
00002,00000,00001,00001
-0001,00002,-0001,00000
00003,-0003,00002,00000
00002,-0002,00003,-0001
00000,-0003,00002,00003
00000,00001,00003,00001
00000,00002,00001,00000
00000,00000,00001,00003
00001,00002,00003,00002
