delta1,delta2,delta3,delta4
00004,00042,00019,00029
00004,00042,00019,00032
00004,00042,00019,00035
00004,00042,00019,00042
00004,00042,00019,00035
00008,00042,00017,00034
00006,00038,00017,00025
00003,00030,00016,00023
00004,00022,00011,00017
00003,00018,00008,00012
00003,00018,00008,00008
00003,00018,00008,00005
00003,00018,00008,00004
00003,00018,00008,00004
00003,00018,00008,00003
00000,-0005,00000,00000
00000,00004,00000,00000
00000,-0003,00000,00000
00002,-0002,-0001,00000
-0002,-0003,-0002,00000
00000,-0001,-0003,00000
-0001,-0001,-0004,-0003
-0001,-0001,-0001,-0001
00004,-0006,-0003,-0002
00000,-0002,-0001,00001
-0001,-0003,-0003,00001
-0002,00004,00002,00003
-0001,-0002,-0002,00000
-0001,00004,00004,00002
-0001,00000,-0003,00000
-0001,00004,00000,00000
00000,00004,-0001,00002
00005,00001,00002,00001
00002,-0001,00005,00002
-0001,00004,00001,00003
00000,00006,00002,00003
00001,00004,00001,00004
00003,00003,00002,00003
00000,-0003,00000,00003
-0002,00005,00002,00004
