delta1,delta2,delta3,delta4
00000,00000,00000,00001
00000,00001,00000,-0002
00000,-0001,-0001,00002
00004,00000,00001,00000
00001,00002,00000,00000
00002,00000,00000,00001
00003,00005,00003,-0001
00003,00001,00001,00005
00004,00005,00004,00006
00009,00007,00008,00009
00008,00012,00009,00010
00010,00016,00014,00016
00013,00012,00014,00016
00011,00013,00013,00017
00018,00017,00018,00023
00018,00017,00018,00016
00014,00013,00018,00018
00014,00013,00012,00016
00008,00009,00011,00014
00007,00007,00011,00013
00005,00008,00006,00009
00005,00006,00003,00007
00002,00005,00002,00005
00002,00003,00000,00003
00002,00004,00000,00001
-0001,00004,00001,-0001
00000,00000,00000,00002
00001,-0001,-0001,00001
00000,-0001,-0001,00000
-0001,-0001,00001,-0001
00005,00003,-0002,00001
00000,00001,00000,00000
-0002,00002,00000,00000
-0001,00000,00000,00000
-0001,-0001,-0001,00000
-0001,-0003,00003,00002
00001,00000,00000,00000
00000,-0002,00001,00000
00000,00001,-0002,-0001
-0002,-0002,-0002,00000
-0002,00000,-0001,00000
00001,-0001,-0001,-0001
00000,00001,-0001,-0002
-0001,00000,00000,00000
00001,00000,-0001,00000
-0002,00000,00000,-0001
-0001,00001,00000,00001
-0001,00001,-0002,-0002
-0001,00001,-0002,00000
-0003,-0001,00001,00000
-0001,-0001,00000,00000
-0002,-0001,00000,00000
-0002,00000,00001,00000
-0001,00002,-0002,-0001
00000,00000,-0001,-0004
