delta1,delta2,delta3,delta4
-0001,00001,00000,-0001
00004,00000,-0001,-0001
-0004,-0002,-0001,-0001
-0002,-0001,00000,00001
00000,-0002,00000,00000
-0002,-0001,00000,00000
00002,00001,00000,-0001
-0003,00001,00000,00001
00000,00001,-0001,-0001
00000,00001,-0001,00002
00000,00002,00001,00003
00004,00003,00003,00007
-0004,00008,00004,00010
00015,00011,00009,00014
00015,00014,00015,00023
00015,00014,00015,00024
00015,00014,00015,00028
00015,00014,00015,00029
00015,00014,00015,00027
00015,00014,00015,00033
00022,00022,00029,00032
00021,00018,00026,00032
00020,00018,00024,00032
00020,00018,00023,00032
00020,00018,00022,00032
00020,00018,00020,00032
00015,00018,00020,00032
00015,00018,00017,00032
00011,00012,00015,00021
00010,00009,00008,00013
00010,00009,00008,00010
00010,00009,00008,00008
00010,00009,00008,00009
00010,00009,00008,00008
00010,00009,00008,00008
00006,00005,00004,00004
00004,00002,00001,00003
00001,00001,00001,00003
00001,00003,00001,00001
00000,00001,-0001,00001
00002,00002,00000,00001
00000,-0001,-0001,-0001
00004,00001,00001,00002
-0005,-0001,-0002,00000
00000,00002,00000,00000
00001,00001,00000,00001
-0003,00000,00000,00000
-0002,-0001,00000,00000
00000,-0002,00000,00000
00000,00001,00000,00000
00001,00001,-0001,00000
-0001,00000,00000,00000
-0001,-0001,-0001,00000
00002,-0004,-0001,00000
-0001,00000,-0001,00000
