delta1,delta2,delta3,delta4
00001,-0001,00000,00000
-0001,00000,00001,00001
-0001,00003,-0001,00001
-0001,-0001,00001,00000
00000,00000,00000,00001
-0001,-0002,00001,00000
00000,00000,00000,00000
00003,00001,00001,00001
00001,00002,00001,00001
00003,00001,00001,00002
00007,00002,00006,00005
00010,00008,00007,00009
00012,00011,00012,00015
00014,00012,00019,00022
00014,00012,00019,00024
00014,00012,00019,00026
00014,00012,00019,00027
00014,00012,00019,00028
00014,00012,00019,00033
00013,00025,00021,00033
00013,00015,00030,00033
00013,00015,00026,00033
00013,00015,00023,00033
00013,00015,00022,00033
00013,00015,00019,00033
00014,00011,00015,00018
00008,00008,00009,00012
00008,00008,00009,00010
00008,00008,00009,00008
00008,00008,00009,00010
00008,00008,00009,00008
00008,00008,00009,00006
00004,00004,00002,00003
00001,00002,00001,00003
00002,00002,00000,00003
00003,00000,00000,00000
00004,00002,00002,00002
00002,00000,00000,-0001
00001,-0003,-0001,00003
00001,00001,-0001,-0001
00001,00000,00000,00001
00000,00000,00001,00001
00002,-0001,-0001,00000
00002,00004,00000,-0002
00001,00000,00001,-0001
00001,00001,-0001,00000
00000,00000,00001,00001
00000,00000,00001,-0001
-0001,-0003,00000,-0001
00002,00000,-0002,00000
00000,00000,00001,00001
00002,00001,-0001,00000
00002,-0001,00000,00000
00000,00000,-0001,00001
-0001,00001,-0001,-0001
