delta0,delta1,delta2,delta3,delta4
0008,0001,0015,0035,0041
0008,0001,0015,0035,0049
0007,0006,0016,0050,0064
0007,0006,0016,0056,0091
0007,0006,0016,0056,0115
-006,-005,0017,0079,0133
-006,-005,0017,0081,0140
-006,-005,0017,0081,0140
-006,-005,0019,0061,0116
0006,-004,0019,0061,0113
0006,-004,0019,0061,0093
0005,-004,0014,0034,0036
0005,-004,0014,0034,0036
0005,-004,0014,0034,0036
0005,-004,0013,0030,0021
0005,-004,0013,0029,0021
0005,-004,0013,0029,0021
0004,-004,0006,0010,0006
0004,-004,0006,0010,0006
0004,-004,0006,0010,0006
0000,-002,0002,0008,0002
0000,-002,0002,0008,0002
0000,-002,0002,0008,0002
0000,-005,0003,0003,-005
0000,-005,0003,0003,-005
0000,-005,0003,0003,-005
-002,-004,-001,0000,-008
-002,-004,-001,0000,-008
-002,-004,-001,0000,-008
0002,-003,-005,-004,-011
