delta0,delta1,delta2,delta3,delta4
0011,0005,0014,0029,0038
0011,0005,0014,0029,0038
0010,0006,0014,0036,0054
0010,0006,0014,0036,0054
0010,0006,0014,0036,0056
0010,0009,0016,0064,0092
0010,0009,0016,0067,0112
0006,-001,0016,0069,0125
0006,-001,0015,0089,0157
0006,-001,0015,0089,0166
0006,-001,0015,0087,0169
0011,0004,0020,0082,0169
0011,0004,0020,0062,0119
0011,0004,0020,0035,0059
0015,0005,0016,0033,0044
0015,0005,0016,0021,0029
0015,0005,0016,0021,0025
0015,0005,0011,0018,0017
0010,0002,0011,0018,0016
0010,0002,0011,0017,0014
0003,-003,0007,0002,0002
0003,-003,0007,0002,0002
0003,-003,0007,0002,0002
0000,-001,0001,0002,0002
0000,-001,0001,0002,0002
0000,-001,0001,0002,0002
0001,0001,-002,-003,0000
0001,0001,-007,-003,0000
0001,0001,-007,-003,0000
0005,0000,0002,-004,-002
