delta0,delta1,delta2,delta3,delta4
0008,0003,0009,0034,0038
0008,0003,0009,0034,0038
0012,0003,0013,0059,0073
0012,0003,0013,0068,0091
0013,0003,0013,0075,0111
0014,0015,0016,0110,0187
0014,0015,0016,0110,0187
0014,0015,0016,0110,0187
0014,0015,0018,0107,0186
0009,0003,0018,0100,0164
0009,0003,0018,0068,0110
0007,0000,0019,0067,0096
0007,0000,0019,0040,0050
0001,-004,0018,0037,0033
0001,-004,0014,0023,0018
0001,-004,0014,0023,0018
0001,-004,0014,0021,0018
0002,-004,0007,0011,0004
0002,-005,0007,0011,0003
0002,-005,0007,0011,0003
-001,0000,-001,0002,0001
-001,0000,-002,0002,0001
-001,0000,-002,0002,0001
-002,-001,-005,0000,-001
-002,-001,-005,0000,-001
-002,-001,-005,0000,-001
-003,-002,-007,-002,-004
-003,-002,-007,-002,-004
-003,-002,-007,-002,-004
-004,-006,-008,-004,-008
