delta0,delta1,delta2,delta3,delta4
0010,0008,0015,0034,0040
0011,0008,0018,0035,0042
0011,0012,0020,0047,0075
0011,0012,0020,0047,0087
0011,0012,0020,0047,0088
0016,0013,0022,0050,0087
0016,0013,0022,0050,0082
0017,0012,0020,0041,0059
0011,0006,0019,0035,0055
0011,0006,0018,0032,0040
0011,0006,0018,0023,0029
0011,0008,0014,0018,0024
0011,0008,0009,0018,0018
0010,0004,0009,0016,0017
0007,0003,0011,0012,0010
0007,0003,0011,0012,0010
0007,0003,0007,0009,0010
0001,0000,0007,0004,0008
0001,0000,0007,0004,0008
0001,0000,0008,0004,0007
0005,0004,0005,0003,0001
0005,0004,0005,0003,0001
0005,0002,0005,0003,0001
0002,0002,-001,-001,0003
0002,0002,-001,-001,0003
0002,0002,-001,-001,0003
0001,0001,0003,0001,0003
0001,0001,0003,0001,0003
0001,0001,0003,0001,0003
-001,0000,0003,0001,-001
