delta0,delta1,delta2,delta3,delta4
0007,0007,0017,0032,0036
0007,0007,0018,0032,0036
0007,0007,0019,0035,0048
0006,0007,0019,0036,0048
0006,0007,0019,0036,0048
0009,0009,0020,0045,0063
0009,0009,0020,0045,0063
0009,0009,0020,0045,0066
0010,0011,0017,0040,0055
0010,0011,0017,0040,0051
0008,0010,0017,0035,0038
0007,0005,0017,0030,0033
0007,0005,0017,0022,0026
0006,0005,0011,0022,0021
0006,0006,0007,0017,0013
0006,0006,0007,0011,0006
0004,0005,0007,0011,0006
0004,0003,0005,0008,0005
0004,0003,0005,0005,0005
0003,-001,0005,0005,0005
0002,-001,0006,0003,0002
0002,-001,0006,0003,0002
-001,0006,0006,0003,0002
-001,0001,-002,0002,0000
-001,0001,-002,0002,0000
0000,0001,-002,0002,0000
-001,-002,0003,0005,0005
-001,-005,0003,0005,0005
-001,-005,0005,0005,0005
-002,0000,0004,0004,0001
