delta0,delta1,delta2,delta3,delta4
0008,0004,0017,0026,0033
0008,0004,0017,0030,0033
0007,0004,0019,0035,0044
0007,0004,0019,0035,0044
0007,0004,0019,0035,0044
0008,0007,0014,0035,0050
0008,0007,0014,0035,0050
0008,0007,0014,0035,0050
0010,0007,0018,0043,0059
0010,0007,0018,0043,0059
0010,0007,0018,0045,0058
0011,0008,0015,0037,0049
0011,0008,0015,0037,0047
0009,0008,0015,0030,0036
0009,0007,0014,0030,0033
0009,0007,0014,0022,0024
0007,0006,0014,0019,0020
0005,0006,0008,0013,0011
0005,0006,0008,0011,0010
0005,0006,0008,0011,0010
-001,0002,0004,0006,0005
0000,0002,0004,0006,0005
0000,0002,0004,0006,0005
0004,0000,0003,0004,0001
0004,0000,0003,0004,0001
0003,0000,0003,0004,0001
-001,0001,0002,0001,0001
-001,0001,0002,0001,0001
-001,0001,0002,0001,0001
-002,-002,-001,0000,0002
