delta0,delta1,delta2,delta3,delta4
0033,0015,0023,0025,0023
0044,0016,0028,0032,0025
0050,0018,0028,0032,0028
0050,0018,0028,0031,0028
0050,0018,0029,0031,0028
0051,0020,0029,0031,0031
0063,0023,0031,0031,0032
0081,0023,0032,0036,0036
0081,0023,0032,0036,0036
0078,0020,0028,0032,0031
0057,0019,0027,0032,0026
0048,0018,0026,0028,0026
0028,0013,0022,0021,0024
0021,0008,0020,0021,0018
0018,0007,0014,0014,0017
0009,0006,0011,0013,0012
0008,0005,0008,0012,0011
0008,0006,0006,0007,0007
0005,0003,0003,0002,0003
0005,0002,0003,0002,0003
0004,0002,0005,0002,0005
0002,0001,0005,0003,0005
0002,0002,0005,0003,0004
0004,0003,-001,0003,0001
0004,0004,-001,0000,0003
0005,0003,-001,0000,0003
0005,-002,0003,0001,0003
0004,-002,0003,0001,0000
0002,0000,0004,0001,0000
0003,0000,0001,-001,0000
