delta0,delta1,delta2,delta3,delta4
0036,0010,0018,0023,0024
0044,0008,0019,0023,0024
0052,0014,0020,0023,0025
0059,0015,0022,0026,0027
0059,0015,0022,0026,0027
0057,0018,0025,0025,0025
0056,0017,0026,0025,0025
0056,0017,0026,0025,0025
0050,0014,0023,0028,0023
0046,0014,0023,0028,0023
0044,0011,0023,0028,0023
0033,0011,0021,0019,0021
0023,0011,0021,0017,0021
0019,0010,0021,0015,0019
0012,0008,0009,0012,0016
0010,0008,0009,0012,0015
0010,0008,0009,0011,0011
0007,0007,0005,0008,0011
0007,0005,0005,0008,0009
0007,0004,0005,0008,0006
0003,0005,0002,0004,0007
0002,0006,0002,0004,0005
0002,0006,0002,0004,0005
0003,0003,0002,0002,0005
0004,0003,0001,0002,0004
0004,0003,0001,0002,0004
0003,0002,0001,0001,0002
0003,0002,0006,0001,0002
0001,0000,0006,0004,0001
0003,0002,0005,0004,0002
