delta0,delta1,delta2,delta3,delta4
0030,0011,0023,0021,0022
0035,0013,0023,0019,0023
0044,0012,0022,0018,0024
0052,0013,0023,0020,0024
0062,0013,0023,0022,0022
0062,0013,0023,0022,0022
0058,0013,0023,0022,0022
0055,0011,0023,0021,0024
0052,0011,0023,0021,0024
0041,0011,0023,0021,0024
0027,0006,0021,0018,0017
0025,0006,0020,0017,0017
0019,0006,0020,0015,0017
0012,0007,0013,0012,0012
0011,0006,0013,0012,0012
0010,0006,0013,0012,0012
0007,0005,0011,0010,0011
0007,0004,0010,0007,0007
0007,0004,0007,0007,0006
0005,0004,0010,0005,0005
0005,0004,0006,0004,0005
0004,0003,0006,0004,0005
0004,0003,0006,0001,0006
0004,0003,0008,0001,0005
0004,0001,0008,0002,0005
0005,0001,0002,0002,0005
0005,0001,0002,0002,0005
0005,0001,0005,0002,0005
0006,-002,0005,0002,0004
0004,-002,0005,0002,0004
