delta0,delta1,delta2,delta3,delta4
0030,0015,0025,0026,0023
0034,0017,0024,0025,0023
0036,0017,0025,0025,0023
0050,0017,0025,0028,0032
0083,0024,0025,0032,0035
0227,0024,0037,0039,0040
0227,0022,0037,0039,0040
0183,0022,0037,0039,0040
0119,0022,0037,0039,0040
0082,0022,0037,0039,0040
0040,0014,0025,0024,0018
0015,0007,0017,0013,0012
0013,0007,0017,0013,0012
0009,0007,0017,0013,0012
0008,0007,0017,0013,0012
0008,0007,0011,0011,0007
0008,0006,0008,0008,0005
0006,0006,0008,0006,0005
0004,0002,0009,0004,0005
0003,0002,0009,0004,0005
0001,0000,0008,0004,0003
0001,0000,0005,0004,0002
0002,0002,0004,0001,0003
0002,0002,0001,0000,0002
0004,0002,0001,0000,0002
0002,0002,0001,0000,0000
0002,0002,0000,0001,0000
0002,0002,0000,0001,0001
0002,0000,-001,-001,0001
0005,0000,-001,-001,0000
