delta0,delta1,delta2,delta3,delta4
0052,0014,0022,0020,0021
0060,0014,0022,0022,0021
0060,0014,0023,0022,0021
0048,0014,0023,0023,0019
0031,0011,0023,0023,0018
0028,0011,0019,0023,0018
0022,0011,0017,0017,0018
0013,0008,0015,0013,0010
0013,0008,0013,0012,0010
0007,0008,0013,0011,0010
0007,0008,0004,0007,0003
0005,0007,0004,0005,0003
0005,0003,0006,0004,0001
0004,0003,0006,0004,0004
0002,0003,0005,0002,0001
0003,0003,0004,0001,0001
0003,0001,0000,0001,0000
0003,0001,0000,0001,0000
0003,0004,0000,0001,0000
0001,0004,0001,0001,0000
0001,0004,0001,0001,0000
0000,0002,0001,0001,0000
0001,0004,0001,0001,0000
0000,0004,0001,0002,0000
0000,0004,0001,0002,0000
0000,-003,0004,0000,0001
0005,-003,0008,0000,0001
0005,0002,0008,0000,0001
0003,0002,-001,0002,-002
0003,0002,-001,0002,-002
