delta0,delta1,delta2,delta3,delta4
0036,0017,0025,0027,0026
0037,0020,0025,0028,0026
0048,0020,0025,0027,0032
0056,0020,0025,0030,0032
0057,0020,0027,0030,0032
0065,0020,0031,0030,0031
0065,0020,0031,0030,0031
0053,0016,0026,0031,0026
0053,0016,0026,0030,0026
0051,0016,0026,0030,0026
0051,0014,0024,0029,0026
0051,0014,0023,0028,0025
0040,0014,0023,0023,0025
0021,0011,0021,0021,0017
0017,0009,0015,0015,0017
0010,0008,0015,0013,0012
0009,0008,0009,0009,0010
0009,0006,0009,0007,0006
0009,0004,0009,0004,0006
0006,0003,0008,0002,0006
0006,0003,0005,0002,0004
0003,0006,0004,0002,0004
0003,0006,0004,0001,0004
0003,0002,0006,0001,0004
0002,0002,0006,0001,0001
0002,0002,-001,0001,0001
0002,0002,-001,0001,0003
0002,0000,0000,0002,0003
0000,0002,0001,0003,0000
0000,0001,0006,0003,0000
