delta0,delta1,delta2,delta3,delta4
0043,0012,0024,0024,0025
0052,0012,0025,0026,0025
0056,0012,0025,0027,0025
0056,0012,0024,0028,0029
0049,0012,0024,0028,0029
0035,0011,0024,0025,0019
0034,0011,0024,0022,0019
0027,0011,0020,0020,0019
0024,0009,0019,0017,0016
0023,0009,0017,0017,0016
0016,0009,0014,0016,0016
0013,0006,0014,0013,0011
0010,0006,0011,0012,0011
0009,0006,0008,0010,0008
0008,0006,0008,0010,0005
0009,0002,0008,0004,0005
0005,0002,0009,0004,0004
0006,0002,0005,0004,0004
0006,0002,0004,0007,0004
0006,-001,0003,0004,0004
0002,0001,0003,0002,0001
0002,-001,0003,0001,0000
0003,0001,0000,0001,0000
0005,-001,-001,0001,0000
0004,-001,-001,0001,0001
0004,-001,0001,0001,0001
0003,-001,0001,0000,-002
0003,0001,0000,0001,-002
0003,0001,-001,-001,0000
0004,-001,0000,0001,0000
