delta0,delta1,delta2,delta3,delta4
0026,0023,0042,0048,0051
0041,0031,0055,0071,0065
0050,0033,0056,0084,0071
0050,0047,0077,0109,0092
0043,0061,0082,0119,0092
0043,0061,0082,0119,0089
0043,0061,0078,0118,0087
0043,0061,0078,0115,0083
0023,0024,0056,0083,0054
0015,0015,0038,0047,0038
0010,0010,0030,0032,0026
0010,0010,0026,0020,0015
0010,0010,0023,0020,0014
0010,0010,0023,0020,0014
0002,0004,0020,0010,0007
0002,0004,0019,0010,0006
0002,0004,0019,0010,0006
0002,0004,0014,0006,0005
0002,0004,0014,0006,0005
0000,0004,0014,0006,0005
0004,0006,0007,0005,0002
0004,0006,0007,0005,0002
0004,0006,0007,0005,0002
0001,0008,0010,0011,0006
0001,0006,0010,0010,0005
0002,0006,0010,0010,0005
0003,0004,0006,0004,0004
0003,0004,0006,0004,0004
0003,0004,0006,0004,0002
0005,0007,0003,0004,0004
