delta0,delta1,delta2,delta3,delta4
0032,0027,0038,0043,0048
0073,0034,0063,0092,0086
0073,0067,0099,0141,0133
0071,0098,0158,0212,0153
0071,0098,0247,0306,0222
0071,0098,0262,0348,0225
0071,0098,0262,0348,0225
0070,0091,0183,0267,0196
0034,0029,0067,0092,0079
0007,-001,0020,0015,0010
0007,-001,0016,0015,0010
0007,-001,0016,0015,0010
0007,-001,0015,0009,0002
0007,-001,0015,0006,0002
0004,-001,0015,0006,0002
0004,-001,0008,0005,0004
0002,-001,0008,0005,0004
0002,-001,0008,0005,0004
0002,0000,0005,0000,0000
0002,0000,0005,0000,0000
0002,0000,0005,0000,0000
0003,-001,0004,0002,0002
0003,-001,0004,0002,0002
0003,-001,0004,0002,0002
0003,0003,0005,-001,-002
0000,0002,0005,-001,-002
0000,0002,0005,-001,-002
0000,-003,-002,0001,0001
0003,-003,-002,0000,0001
0003,-003,-002,0000,0001
