delta0,delta1,delta2,delta3,delta4
0019,0015,0030,0035,0038
0036,0026,0047,0050,0053
0053,0031,0054,0076,0070
0054,0032,0057,0079,0076
0067,0054,0083,0110,0101
0067,0076,0116,0161,0132
0067,0076,0125,0170,0133
0067,0076,0159,0217,0163
0067,0076,0183,0262,0187
0067,0100,0211,0298,0198
0084,0100,0211,0338,0258
0084,0079,0211,0338,0258
0045,0044,0097,0155,0141
0026,0023,0051,0068,0054
0014,0012,0034,0036,0031
0014,0012,0021,0017,0017
0014,0012,0021,0017,0017
0014,0012,0020,0017,0017
0004,0002,0015,0006,0004
0004,0002,0015,0006,0004
0004,0002,0015,0006,0004
0004,0003,0013,0002,0004
0004,0003,0011,0002,0004
0004,0003,0011,0002,0004
0002,0000,0004,0003,0005
0002,0000,0004,0003,0005
0002,0000,0004,0003,0005
0001,0000,0004,-001,0002
0001,0000,0004,-001,0002
0001,0000,0004,-001,0002
