delta0,delta1,delta2,delta3,delta4
0018,0016,0030,0032,0035
0026,0018,0034,0041,0042
0053,0028,0055,0070,0073
0063,0039,0079,0108,0095
0063,0039,0079,0117,0110
0063,0039,0137,0187,0174
0063,0039,0193,0251,0200
0063,0039,0251,0300,0208
0093,0130,0292,0450,0310
0093,0130,0292,0450,0319
0093,0071,0292,0450,0319
0093,0057,0292,0450,0319
0062,0053,0088,0146,0140
0016,0012,0031,0031,0031
0016,0012,0030,0029,0022
0016,0012,0030,0024,0022
0016,0012,0028,0013,0020
0016,0012,0021,0013,0018
0005,0007,0021,0013,0018
0003,0006,0013,0008,0007
0003,0006,0013,0007,0007
0003,0006,0013,0007,0007
0004,0009,0014,0004,0007
0003,0009,0010,0003,0006
0003,0009,0010,0003,0006
0002,0006,0008,0003,0006
0001,0006,0008,0005,0008
0001,0006,0008,0005,0008
0001,0005,0012,0006,0009
0001,0005,0011,0007,0007
