delta0,delta1,delta2,delta3,delta4
0021,0020,0033,0040,0041
0024,0020,0037,0041,0044
0037,0025,0046,0055,0052
0053,0042,0060,0084,0082
0065,0043,0070,0101,0096
0066,0064,0088,0121,0114
0066,0064,0099,0142,0114
0066,0064,0103,0142,0119
0066,0064,0106,0142,0119
0057,0064,0106,0142,0119
0033,0038,0080,0105,0075
0020,0018,0048,0060,0046
0019,0018,0040,0040,0037
0019,0018,0027,0023,0023
0019,0018,0027,0023,0019
0019,0018,0020,0022,0018
0008,0005,0022,0015,0012
0005,0005,0022,0012,0012
0005,0005,0022,0010,0010
0005,0007,0010,0005,0007
0005,0006,0010,0005,0007
0006,0007,0010,0002,0005
0006,0006,0010,0003,0005
0006,0007,0009,0003,0005
0003,0003,0005,0004,0005
0003,0003,0005,0004,0005
0003,0003,0005,0004,0005
0005,0004,0006,0000,0004
0005,0004,0006,0004,0005
0004,0004,0006,0004,0005
