delta0,delta1,delta2,delta3,delta4
0018,0012,0028,0035,0033
0029,0025,0036,0046,0043
0039,0033,0053,0078,0068
0040,0037,0062,0091,0069
0039,0048,0078,0110,0086
0036,0048,0078,0110,0086
0036,0048,0064,0099,0068
0036,0048,0054,0086,0064
0024,0025,0047,0066,0053
0015,0013,0030,0045,0034
0008,0013,0025,0026,0027
0008,0011,0023,0022,0021
0007,0007,0010,0013,0008
0006,0007,0010,0012,0008
0006,0007,0010,0012,0008
0002,0005,0008,0011,0006
0002,0004,0008,0011,0006
0002,0004,0008,0011,0006
0002,0004,0004,0007,0004
0002,0004,0004,0007,0004
0002,0004,0004,0007,0004
0001,0004,0006,0007,0005
0001,0004,0006,0007,0005
0001,0004,0006,0007,0005
0003,0006,0003,0001,0003
0002,0006,0003,0001,0003
0002,0006,0003,0001,0003
0000,0000,0004,0006,0004
0000,0000,0004,0006,0003
0000,0000,0004,0006,0003
