delta0,delta1,delta2,delta3,delta4
0019,0012,0029,0044,0040
0041,0023,0046,0059,0059
0051,0029,0050,0063,0066
0069,0039,0065,0101,0095
0084,0058,0078,0120,0109
0084,0058,0086,0122,0123
0084,0058,0100,0142,0126
0084,0058,0111,0160,0128
0084,0058,0114,0165,0132
0060,0088,0133,0190,0141
0055,0088,0133,0190,0141
0042,0046,0104,0162,0135
0022,0028,0055,0090,0067
0021,0014,0034,0042,0035
0006,-002,0019,0016,0013
0006,-002,0019,0013,0013
0006,-002,0012,0013,0011
0006,-002,0018,0005,0007
0008,0006,0017,0005,0007
0008,0006,0017,0005,0007
0003,0002,0009,0002,0002
0003,0002,0009,0002,0002
0003,0002,0009,0002,0002
0004,0001,0004,0002,0002
0004,0001,0004,0002,0002
0004,0001,0004,0002,0002
0001,0000,0002,-002,0003
0001,0000,0002,-002,0003
0001,0000,0002,-002,0003
0003,0005,0007,-001,0002
