delta0,delta1,delta2,delta3,delta4
0026,0018,0045,0050,0048
0032,0024,0048,0059,0058
0033,0037,0060,0088,0073
0033,0037,0060,0088,0073
0022,0028,0059,0089,0067
0018,0025,0040,0065,0047
0018,0025,0040,0050,0047
0006,0012,0025,0024,0021
0006,0011,0013,0016,0016
0006,0011,0013,0016,0016
0003,0007,0013,0013,0013
0001,0004,0009,0009,0008
0001,0004,0009,0009,0008
0001,0004,0009,0008,0008
-001,0005,0009,0004,0007
-001,0005,0009,0004,0007
-001,0004,0011,0004,0007
0001,0004,0006,0007,0007
0001,0004,0006,0007,0007
0001,0004,0006,0006,0008
0000,0003,0010,0002,0005
0000,0003,0010,0002,0005
0000,0003,0010,0002,0005
0001,0004,0011,0006,0005
0001,0004,0011,0006,0005
0001,0004,0009,0005,0005
0002,0007,0008,0004,0003
0002,0007,0008,0004,0003
0002,0006,0007,0004,0003
-002,0006,0007,0005,0003
