delta1,delta2,delta3,delta4
-003,-002,0000,-002,
-002,-002,0000,-002,
0000,0002,0001,0002,
0000,0002,0001,0002,
0000,0002,0001,0002,
0000,-002,0003,0000,
0000,-002,0003,0000,
0000,-002,0003,0000,
0000,0001,-002,0000,
0000,0001,-002,0000,
0000,0001,-002,0000,
0000,-001,-001,-002,
0000,-001,-001,-002,
-002,-001,-001,-002,
0000,0002,0002,0004,
0000,0002,0002,0004,
0000,0002,0002,0004,
-001,-001,0000,0003,
-001,-001,0000,0003,
-001,-001,0000,0003,
0000,0002,0001,0001,
0000,0002,0001,0001,
0000,0002,0001,0001,
0002,0000,0001,0000,
0002,0000,0001,0000,
0002,0000,0001,0000,
0000,0000,0000,-002,
0000,0000,0000,-002,
0000,0000,0000,-002,
0002,0001,0003,-003,
