delta1,delta2,delta3,delta4
0001,0002,0001,0002,
0003,0002,0006,0002,
0003,0002,0006,0002,
0003,0002,0006,0002,
0004,0002,0003,0002,
0004,0002,0003,0002,
0004,0002,0003,0002,
0002,0002,0004,0003,
0002,0002,0004,0003,
0002,0002,0004,0003,
-001,0003,0002,0000,
-001,0003,0002,0000,
-001,0003,0002,0000,
-001,0001,-001,0001,
-001,0001,-001,0001,
-001,0001,-001,0001,
-001,-001,-002,0000,
-001,-001,-002,0000,
-001,-001,-002,0000,
0004,0004,0001,0004,
0004,0004,0001,0004,
0004,0004,0001,0004,
-002,-003,0000,0001,
-002,-003,0000,0001,
-002,-003,0000,0001,
0005,0005,0003,0004,
0005,0005,0003,0004,
0005,0005,0003,0004,
-001,0003,-003,0001,
-001,0003,-003,0001,
