delta1,delta2,delta3,delta4
-002,-001,-002,0000,
-002,-001,-002,0000,
-002,-001,-002,0000,
0000,-003,-003,-003,
0000,-003,-003,-003,
0000,-003,-003,-003,
0003,0000,-002,0001,
0003,0000,-002,0001,
0003,0000,-002,0001,
0003,0003,-003,0000,
0003,0003,-003,0000,
0003,0003,-003,0000,
-001,0000,0001,0001,
-001,0000,0001,0001,
0001,0000,0001,0001,
0001,-001,-003,0001,
0001,-001,-003,0001,
0000,-001,-003,0001,
-001,0001,0000,0002,
-001,0001,0000,0002,
-002,0001,0000,0002,
0006,0003,0004,0003,
0006,0003,0004,0003,
0006,0003,0004,0003,
0004,0004,0003,0001,
0004,0004,0003,0001,
0004,0004,0003,0001,
0006,0006,0006,0002,
0006,0006,0006,0002,
0006,0006,0006,0002,
