delta1,delta2,delta3,delta4
0006,0003,0004,0006,
-002,-004,0001,-002,
-002,-004,0001,-002,
0001,-004,0001,-002,
0001,-001,0000,0001,
0001,-001,0000,0001,
-001,-001,0000,0001,
0006,0001,0001,0001,
0006,0001,0001,0001,
0006,0001,0001,0001,
0002,-001,-001,-003,
0002,-001,-001,-003,
0002,-001,-001,-003,
-002,-003,-002,0001,
-002,-003,-002,0001,
-002,-003,-002,0001,
0002,0007,0004,0003,
0002,0007,0004,0003,
0002,0007,0004,0003,
0003,0003,0004,0005,
0003,0003,0004,0005,
0003,0003,0004,0005,
0000,-002,-007,-003,
0000,-002,-007,-003,
0000,-002,-006,-003,
-001,0000,-003,0002,
-001,0000,-003,0002,
0000,0000,-003,0002,
0000,-003,-003,-003,
0000,-003,-003,-003,
