delta1,delta2,delta3,delta4
0003,0002,0002,0003,
0002,0007,0009,0005,
0002,0007,0009,0005,
0002,0007,0009,0005,
0003,0005,0004,0007,
0003,0005,0004,0007,
0003,0005,0004,0007,
0002,0003,0005,0003,
0002,0003,0005,0003,
0002,0003,0005,0003,
0002,0004,0002,0004,
0002,0004,0002,0004,
0002,0004,0002,0004,
-002,0002,0004,0003,
-002,0002,0004,0003,
-002,0002,0004,0003,
-001,-001,0000,0001,
-001,-001,0000,0001,
0001,-001,0000,0001,
0001,-001,0001,0001,
0001,-001,0001,0001,
0000,-001,0001,0001,
0002,0001,0001,0003,
0002,0001,0001,0003,
0002,0001,0001,0003,
0003,0005,0005,0002,
0003,0005,0005,0002,
0003,0005,0005,0002,
0000,-002,0000,0002,
0000,-002,0000,0002,
