delta1,delta2,delta3,delta4
0003,0004,0003,0000,
0001,-001,-001,-002,
0001,-001,-001,-002,
0001,-001,-001,-002,
0001,0001,0000,0001,
0001,0001,0000,0001,
0001,0001,0000,0001,
0001,0002,0001,-001,
0001,0002,0001,-001,
0002,0002,0001,-001,
0006,0005,0006,0003,
0006,0005,0006,0003,
0006,0005,0006,0003,
0003,0005,0004,0003,
0003,0005,0004,0003,
0003,0005,0004,0003,
0004,0005,0005,0003,
0004,0005,0005,0003,
0004,0005,0005,0003,
0004,0003,0004,0003,
0004,0003,0004,0003,
0004,0003,0004,0003,
0002,0001,0003,0006,
0002,0001,0003,0006,
0002,0001,0003,0006,
0003,0005,0006,0005,
0003,0005,0006,0005,
0003,0005,0006,0005,
0001,-001,0000,0001,
0001,-001,0000,0001,
