delta1,delta2,delta3,delta4
0001,-001,-002,-002,
0001,-001,0000,0003,
0001,-001,0000,0003,
0002,-001,0000,0003,
0003,-001,0002,0002,
0003,-001,0002,0002,
0003,-001,0002,0002,
0005,0001,0004,0001,
0005,0001,0004,0001,
0005,0001,0004,0001,
-001,0002,0005,-001,
-001,0002,0005,-001,
-002,0002,0005,-001,
0004,0002,0007,0002,
0004,0002,0007,0002,
0004,0002,0007,0002,
0003,0006,0004,0001,
0003,0006,0004,0001,
0003,0006,0004,0001,
-004,-002,0000,0000,
-004,-002,0000,0000,
-004,-002,0000,0000,
-003,0001,0002,0002,
-003,0001,0002,0002,
-003,0001,0002,0002,
0003,-002,0001,-002,
0003,-002,0001,-002,
0003,-002,0001,-002,
0003,0004,0006,0002,
0003,0004,0006,0002,
