delta1,delta2,delta3,delta4
0004,0004,0007,0000,
0004,0004,0007,0000,
0004,0006,0006,0002,
0004,0006,0006,0002,
0004,0006,0006,0002,
0002,0002,0004,0002,
0002,0002,0004,0002,
0002,0002,0004,0002,
-001,-004,-003,-003,
0000,-003,-002,-002,
0000,-003,-002,-002,
0002,0000,0005,0001,
0002,0000,0005,0001,
0002,0000,0005,0001,
0001,0002,0005,0000,
0001,0002,0005,0000,
0001,0002,0005,0000,
0000,-006,0004,-001,
0000,-006,0004,-001,
0000,-004,0004,-001,
-001,-001,0002,-001,
-001,-001,0002,-001,
-001,-001,0002,-001,
-002,-003,0000,0001,
-002,-003,0000,0001,
-002,-003,0001,0001,
0006,0003,0003,0002,
0006,0003,0003,0002,
0006,0003,0003,0002,
0001,0003,0005,0003,
