delta1,delta2,delta3,delta4
0001,0000,0007,0002,
0001,0000,0007,0002,
0003,0005,0008,0002,
0003,0005,0008,0002,
0003,0005,0008,0002,
0001,0000,0002,-001,
0001,0000,0002,-001,
0001,0000,0002,-001,
0003,-002,0001,0000,
0003,-002,0001,0000,
0003,-002,0001,0000,
-001,-003,0002,0001,
-001,-003,0002,0001,
-001,-003,0002,0001,
0000,-002,-001,0002,
0000,-002,-001,0002,
0000,-002,-001,0002,
-002,-002,0002,0001,
-002,-002,0002,0001,
-002,-002,0002,0001,
-001,-002,0003,-001,
-001,-002,0003,-001,
-001,-002,0003,-001,
0002,0001,0000,0000,
0002,0001,0000,0000,
0002,0001,0000,0000,
0003,0003,0008,0000,
0003,0003,0008,0000,
0003,0003,0008,0000,
0001,-004,-001,0000,
