delta1,delta2,delta3,delta4
-003,-001,0004,-001,
-003,0001,-001,-002,
-003,0001,-001,-002,
-003,0001,-001,-002,
-002,0001,0001,-003,
-002,0001,0001,-003,
0001,0001,0001,-003,
0003,0000,0004,0002,
0003,0000,0004,0002,
0003,0000,0004,0002,
-003,-002,0001,-002,
-003,-002,0001,-002,
-003,-003,0001,-002,
0000,0003,0006,-001,
0000,0003,0006,-001,
0000,0003,0006,-001,
0006,0002,0003,0001,
0006,0002,0003,0001,
0006,0002,0003,0001,
0004,0000,0002,-003,
0004,0000,0002,-003,
0004,0000,0002,-003,
-002,-001,0003,-003,
-002,-001,0003,-003,
-002,-001,0003,-003,
0002,-001,0002,0000,
0002,-001,0002,0000,
0002,-001,0002,0000,
-002,0000,0000,0000,
-002,0000,0000,0000,
