delta1,delta2,delta3,delta4
0004,0005,0006,0005,
0004,0005,0006,0005,
0008,0006,0003,0003,
0008,0006,0003,0003,
0008,0006,0003,0003,
0001,0003,0001,0002,
0001,0003,0001,0002,
0001,0003,0001,0002,
-004,0000,-001,0002,
-004,0000,-001,0002,
0003,0000,-001,0002,
0003,0001,0002,0003,
0003,0001,0002,0003,
0001,0001,0002,0003,
0001,0002,0002,0001,
0001,0002,0002,0001,
-002,0002,0002,0001,
0006,0003,0003,0004,
0006,0003,0003,0004,
0006,0003,0003,0004,
0001,0001,-002,0001,
0001,0001,-001,0001,
0001,0001,-001,0001,
0001,-002,0001,0000,
0001,-002,0001,0000,
0004,-002,0001,0000,
0004,0006,0005,0004,
0004,0006,0005,0004,
0004,0006,0005,0004,
0005,0003,0004,0004,
