delta1,delta2,delta3,delta4
0000,-001,0001,0001,
-001,0002,0003,-001,
-001,0002,0003,-001,
-001,0002,0003,-001,
0002,0001,0000,0001,
0002,0001,0000,0001,
0002,0001,0000,0001,
0000,-002,0004,-002,
0000,-002,0004,-002,
0001,-002,0004,-002,
0003,0007,0007,0002,
0003,0007,0007,0002,
0003,0007,0007,0002,
-001,0000,0001,0002,
-001,0000,0001,0002,
-001,0000,0001,0002,
0003,0001,0003,0001,
0003,0001,0003,0001,
0003,0001,0003,0001,
0000,0003,0002,0001,
0000,0003,0002,0001,
0000,0003,0002,0001,
0003,0003,0003,-001,
0003,0003,0003,-001,
0003,0003,0003,-001,
0001,-002,0001,0001,
0001,-002,0001,0001,
0002,-001,0001,0001,
0002,0000,0001,0000,
0002,0000,0001,0000,
