delta1,delta2,delta3,delta4
0001,-001,0003,0001,
0000,-003,0000,-002,
0000,-003,0000,-002,
0000,-003,0000,-002,
0002,0004,0008,-002,
0002,0004,0008,-002,
0002,0004,0008,-002,
0000,0003,0002,-001,
0000,0003,0002,-001,
0000,0003,0002,-001,
0000,0001,0000,0000,
0000,0001,0000,0000,
0000,0001,0000,0000,
0004,0004,0003,0004,
0004,0004,0003,0004,
0004,0004,0003,0004,
0003,0004,0006,0001,
0003,0004,0006,0001,
0003,0004,0006,0001,
0002,0004,0005,0001,
0002,0004,0005,0001,
0002,0004,0005,0001,
0002,0006,0005,0001,
0002,0006,0005,0001,
0002,0006,0005,0001,
0002,0005,0004,0000,
0002,0005,0004,0000,
0002,0005,0004,0000,
0004,0006,0009,0002,
0004,0006,0009,0002,
