delta1,delta2,delta3,delta4
00002,00001,00001,00007
00000,00001,-0001,00007
00001,00001,00001,00006
00003,00001,00001,00006
00004,00001,00001,00005
00001,00001,00000,00005
00002,00002,-0001,00005
00002,00001,-0001,00006
00001,00002,-0001,00006
00003,00003,00002,00006
00005,00003,00000,00005
00007,00011,00006,00010
00011,00012,00008,00017
00013,00011,00010,00022
00013,00011,00010,00023
00013,00011,00010,00023
00013,00011,00010,00022
00013,00011,00010,00022
00013,00011,00010,00020
00012,00010,00005,00020
00012,00010,00005,00017
00010,00005,00005,00018
00006,00003,00002,00016
00007,00005,00002,00012
00004,00004,00002,00009
00006,00002,00000,00008
00001,00001,00001,00010
00002,00002,00000,00008
00000,00002,00001,00007
00001,00003,00000,00006
00002,00002,00000,00007
00004,00001,00000,00008
00002,00000,00000,00006
00002,00003,00002,00007
00001,00002,00001,00005
00002,00001,00000,00006
00002,00002,00000,00005
00000,00001,-0001,00006
00002,00001,00001,00006
00001,00000,-0001,00005
00000,00002,-0001,00005
00001,00000,00001,00007
00002,00000,00001,00006
00003,00003,-0001,00005
00004,00002,00001,00006
00001,00001,00001,00006
00002,00003,00000,00006
00001,00002,-0001,00006
00000,00000,-0001,00005
00003,00001,-0001,00004
00001,00001,-0001,00005
00001,00001,00001,00005
00000,00000,-0001,00005
00003,00002,-0001,00007
00001,00000,00001,00006
