delta1,delta2,delta3,delta4
-0001,-0003,00002,00000
-0001,-0001,00000,00000
00001,-0002,00000,00001
00002,-0002,00001,00001
00000,00000,00001,00001
00000,00006,00001,00001
00000,00001,00002,00001
00003,00001,00001,00001
00002,00001,00003,00002
00003,00003,00003,00002
00003,00002,00004,00005
00006,00006,00006,00005
00008,00010,00007,00008
00010,00018,00014,00010
00015,00029,00023,00016
00015,00032,00029,00016
00015,00033,00034,00016
00015,00033,00036,00016
00015,00031,00039,00016
00015,00027,00036,00016
00023,00022,00032,00029
00023,00022,00032,00030
00021,00022,00032,00031
00019,00022,00032,00027
00019,00022,00032,00026
00019,00022,00032,00025
00016,00006,00010,00022
00016,00004,00007,00022
00016,00004,00007,00022
00016,00002,00006,00022
00016,00000,00004,00022
00016,00002,00006,00022
00005,00000,00002,00009
00005,00000,00002,00006
00005,00000,00002,00007
00005,00000,00002,00005
00005,00000,00002,00005
00005,00000,00002,00004
00002,-0002,00003,00005
00000,-0001,00001,00001
00001,-0001,00002,00002
00001,-0003,00001,00001
00002,-0003,00001,00002
00000,-0001,00000,00001
-0001,-0002,00001,00002
-0001,-0002,00001,00001
-0001,-0003,-0001,00000
-0001,-0003,00002,00000
00000,-0002,00000,00001
00001,-0001,00002,00001
00000,-0003,00001,00001
00001,-0001,00001,00001
-0001,-0002,00001,00002
-0001,-0003,00001,00000
00001,-0002,00002,00001
