delta1,delta2,delta3,delta4
-0002,-0003,00004,00003
00001,-0001,00004,00001
00000,00000,00004,00004
00001,00003,00006,00001
-0001,00001,00005,00003
00001,00002,00007,00005
00006,00003,00007,00004
00001,00006,00008,00006
00007,00007,00011,00008
00007,00009,00014,00011
00010,00013,00015,00015
00013,00015,00017,00019
00014,00016,00021,00021
00014,00016,00022,00022
00014,00016,00022,00025
00014,00016,00023,00024
00014,00016,00023,00024
00014,00016,00026,00028
00016,00018,00025,00033
00021,00019,00025,00032
00022,00019,00025,00032
00021,00019,00025,00032
00024,00019,00025,00032
00024,00019,00025,00032
00025,00019,00025,00032
00026,00014,00025,00036
00021,00011,00020,00039
00019,00007,00014,00035
00019,00007,00012,00035
00019,00007,00011,00035
00019,00007,00009,00035
00019,00007,00010,00035
00019,00007,00009,00035
00008,00001,00008,00018
00008,00001,00008,00018
00006,00001,00008,00018
00005,00001,00008,00018
00003,00001,00008,00018
00002,00001,00008,00018
00002,00001,00005,00009
00002,00001,00005,00008
00002,00001,00005,00005
00002,00001,00005,00004
00002,00001,00005,00006
00002,00001,00005,00004
00001,-0002,00004,00003
00000,-0002,00004,00003
-0001,-0001,00002,00001
00000,00000,00005,00004
-0001,-0001,00004,00003
00000,-0001,00003,00000
-0002,-0002,00004,00004
-0001,-0001,00004,00002
-0001,-0003,00005,00001
00000,00000,00004,00002
