delta1,delta2,delta3,delta4
00002,00000,00000,00002
00000,00001,-0001,00003
00001,00001,00000,00001
00000,00000,00001,00003
00002,00003,00001,00002
00003,00000,00000,00002
00002,00001,00000,00002
00003,00000,00001,00003
00002,00001,00001,00004
00005,00004,00004,00005
00004,00006,00005,00008
00005,00007,00010,00012
00007,00006,00014,00016
00009,00019,00019,00020
00009,00019,00019,00024
00009,00019,00019,00028
00009,00019,00019,00029
00009,00019,00019,00030
00009,00019,00019,00032
00013,00014,00032,00034
00013,00014,00034,00034
00013,00014,00034,00034
00013,00014,00034,00034
00013,00014,00033,00034
00013,00014,00032,00034
00011,00013,00030,00030
00008,00012,00024,00027
00006,00010,00022,00017
00011,00008,00019,00019
00010,00009,00017,00019
00009,00008,00013,00015
00009,00008,00016,00018
00006,00010,00014,00015
00006,00010,00013,00016
00006,00010,00010,00016
00006,00010,00012,00016
00006,00010,00011,00016
00006,00010,00011,00016
00006,00007,00009,00013
00006,00007,00009,00013
00006,00007,00009,00014
00006,00007,00009,00014
00006,00007,00009,00013
00006,00007,00009,00010
00003,00005,00006,00008
00003,00004,00004,00009
00001,00003,00003,00005
00004,00005,00001,00006
00001,00004,00000,00005
00002,00002,00000,00004
00005,00002,-0001,00003
00002,00001,-0001,00002
00001,00003,-0001,00003
00002,00001,00001,00003
00000,00005,00001,00005
