delta1,delta2,delta3,delta4
00001,00001,-0002,00001
00001,00000,-0001,00002
00000,00000,00000,00001
-0001,00001,00000,00003
00001,00000,-0001,00000
-0001,00002,-0002,00001
00003,00001,-0002,00002
-0002,-0001,00000,00001
00003,00001,00000,00002
-0001,00003,00000,00003
00003,00004,00003,00006
00006,00007,00008,00011
00012,00012,00010,00014
00013,00015,00016,00020
00013,00015,00016,00023
00013,00015,00016,00023
00013,00015,00016,00024
00013,00015,00016,00028
00013,00015,00016,00027
00022,00021,00029,00031
00025,00025,00029,00031
00025,00026,00035,00031
00028,00024,00036,00031
00026,00028,00036,00031
00028,00027,00035,00031
00026,00026,00033,00030
00025,00024,00028,00028
00017,00021,00022,00023
00015,00018,00016,00018
00016,00018,00016,00018
00015,00015,00010,00015
00000,00017,00007,00014
00000,00017,00014,00009
00007,00017,00010,00011
00008,00017,00006,00011
00007,00017,00006,00008
00005,00008,00001,00006
00005,00005,00001,00006
00005,00004,00001,00006
00005,00004,00001,00006
00005,00003,00001,00006
00005,00001,00001,00006
00002,00003,00001,00004
-0001,00000,00002,00004
00000,00001,00001,00005
00002,00001,00000,00003
00000,00001,-0001,00002
00000,-0001,00000,00003
00001,00000,-0001,00003
-0001,00001,00000,00003
00000,00003,-0002,00003
-0002,00000,-0001,00001
-0002,00001,-0002,00002
00001,00001,-0002,00000
-0001,00000,00000,00002
