delta0,delta1,delta2,delta3,delta4
0018,0019,0037,0037,0043
0018,0019,0038,0047,0045
0018,0019,0050,0076,0056
0023,0027,0060,0079,0061
0023,0027,0066,0098,0074
0023,0027,0077,0112,0081
0022,0018,0078,0116,0092
0022,0018,0089,0130,0096
0022,0018,0089,0130,0096
0022,0018,0093,0140,0099
0029,0030,0088,0130,0092
0029,0030,0088,0127,0092
0021,0021,0062,0094,0057
0021,0021,0050,0066,0050
0018,0024,0048,0049,0043
0018,0024,0033,0033,0029
0018,0024,0032,0033,0029
0018,0024,0032,0033,0029
0008,0007,0025,0019,0019
0008,0007,0023,0016,0019
0008,0007,0023,0016,0019
0008,0007,0015,0012,0010
0008,0007,0015,0010,0010
0008,0007,0015,0010,0010
0004,0006,0015,0004,0010
0004,0006,0015,0004,0010
0004,0006,0015,0004,0010
0004,0007,0013,0010,0012
0004,0007,0013,0011,0012
0004,0007,0013,0011,0012
