delta0,delta1,delta2,delta3,delta4
0010,0013,0034,0039,0038
0010,0013,0035,0050,0042
0017,0016,0054,0090,0069
0018,0016,0063,0099,0073
0018,0016,0072,0118,0086
0032,0030,0097,0162,0123
0032,0030,0099,0162,0123
0032,0030,0100,0169,0123
0032,0030,0100,0169,0116
0023,0020,0100,0158,0108
0023,0020,0087,0135,0097
0023,0020,0085,0134,0091
0023,0014,0075,0112,0076
0022,0014,0065,0100,0072
0017,0014,0064,0099,0067
0014,0011,0047,0061,0047
0010,0004,0039,0044,0041
0010,0004,0037,0042,0028
0010,0004,0021,0027,0020
0010,0004,0021,0020,0020
0010,0004,0016,0018,0009
0006,0001,0016,0007,0009
0004,0001,0016,0007,0009
0001,0000,0010,0002,0001
0001,0000,0007,-001,0001
0001,0000,0007,-001,0001
-003,-001,-003,-001,0001
-003,-001,-003,-001,0001
-003,-001,-003,-001,0001
-004,0001,-002,-002,-002
