delta0,delta1,delta2,delta3,delta4
0020,0021,0033,0035,0039
0020,0021,0037,0041,0039
0023,0027,0043,0050,0049
0031,0027,0047,0056,0055
0031,0027,0047,0066,0055
0035,0029,0056,0075,0070
0035,0029,0062,0082,0075
0036,0029,0062,0082,0075
0036,0030,0057,0077,0068
0035,0028,0056,0071,0067
0028,0028,0051,0063,0062
0012,0014,0025,0033,0029
0011,0014,0025,0027,0029
0011,0014,0024,0024,0026
0007,0008,0013,0013,0015
0007,0008,0013,0012,0015
0007,0008,0013,0012,0015
0008,0013,0006,0004,0010
0006,0013,0006,0004,0010
0006,0013,0006,0004,0010
0002,0009,0010,0006,0012
0002,0009,0010,0006,0012
0002,0009,0010,0006,0012
0005,0008,0004,0005,0007
0005,0008,0004,0005,0007
0005,0008,0004,0005,0007
0005,0008,0002,0004,0006
0006,0008,0002,0004,0006
0006,0008,0002,0004,0006
0006,0008,0007,0003,0010
