delta0,delta1,delta2,delta3,delta4
0008,0011,0030,0037,0030
0008,0011,0030,0037,0030
0009,0013,0036,0053,0044
0013,0013,0040,0053,0050
0013,0013,0045,0066,0055
0021,0020,0068,0111,0085
0021,0020,0070,0121,0090
0021,0020,0073,0132,0094
0021,0020,0096,0162,0132
0021,0020,0102,0180,0139
0026,0020,0124,0213,0145
0030,0029,0145,0253,0168
0030,0029,0145,0253,0168
0028,0026,0109,0189,0128
0025,0021,0084,0143,0109
0017,0015,0053,0087,0057
0016,0012,0033,0040,0034
0016,0012,0033,0038,0027
0016,0012,0018,0017,0013
0016,0012,0018,0017,0013
0016,0012,0020,0013,0005
0003,-001,0020,0006,0005
0003,-001,0016,0006,0005
-003,-002,0007,0001,-005
-003,-002,0007,0001,-005
-003,-002,0007,0001,-005
-003,0001,0002,-004,-005
-005,0001,0002,-005,-005
-005,0001,0002,-005,-005
0002,-003,-001,-004,-005
